             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          10807012    shared P05e6598 mconte@u  R      26:29      1 compute0072
          10807013    shared P1b3c60c mconte@u  R      26:29      1 compute0091
          10807014    shared P0e051b8 mconte@u  R      26:29      1 compute0115
          10807010    shared P2250718 mconte@u  R      26:42      1 compute0123
          10807009    shared Pda30524 mconte@u  R      28:27      1 compute0092
          10807008    shared P28779ce mconte@u  R      28:28      1 compute0133
          10807023    shared P4e30627 mconte@u  R      23:28      1 compute0019
          10807024    shared Pd4069d9 mconte@u  R      23:28      1 compute0069
          10807025    shared Pd3281ec mconte@u  R      23:28      1 compute0070
          10807019    shared P4e5962b mconte@u  R      23:55      1 compute0089
          10807020    shared P0ecfe6c mconte@u  R      23:55      1 compute0011
          10807021    shared P5190c6e mconte@u  R      23:55      1 compute0100
          10807038    shared P3afe6bd mconte@u  R      19:02      1 compute0031
          10807037    shared P630a052 mconte@u  R      19:38      1 compute0074
          10807036    shared P4fbaecf mconte@u  R      20:03      1 compute0082
          10807035    shared P4dabddf mconte@u  R      20:22      1 compute0015
          10807034    shared P8cbee1e mconte@u  R      20:31      1 compute0098
          10807033    shared P3f8a9a5 mconte@u  R      20:59      1 compute0110
          10807032    shared P75eb728 mconte@u  R      22:17      1 compute0135
          10807031    shared P4cf3acb mconte@u  R      22:20      1 compute0035
          10807030    shared Pb500d14 mconte@u  R      22:42      1 compute0006
          10807029    shared P006d66a mconte@u  R      22:48      1 compute0058
          10807028    shared Pabe219c mconte@u  R      22:51      1 compute0043
          10807027    shared Pcf7a67a mconte@u  R      23:15      1 compute0063
          10807026    shared Pbf7df5d mconte@u  R      23:26      1 compute0057
          10806850    shared run_FALC mconte@u  R    1:33:34      1 compute0023
          10807063    shared P218e185 mconte@u  R      14:17      1 compute0038
          10807062    shared P33cc8a3 mconte@u  R      15:22      1 compute0107
          10807061    shared P2edcb96 mconte@u  R      15:25      1 compute0008
          10807060    shared P770a40f mconte@u  R      15:31      1 compute0068
          10807059    shared Pa79a732 mconte@u  R      16:06      1 compute0136
          10807056    shared Pafc9197 mconte@u  R      16:36      1 compute0104
          10807057    shared P76090c5 mconte@u  R      16:36      1 compute0116
          10807058    shared Pe083585 mconte@u  R      16:36      1 compute0117
          10807053    shared Pa43e267 mconte@u  R      16:43      1 compute0032
          10807054    shared P31f255b mconte@u  R      16:43      1 compute0079
          10807055    shared Pfb9a7a6 mconte@u  R      16:43      1 compute0080
          10807052    shared P7b173d6 mconte@u  R      16:44      1 compute0055
          10807051    shared P33763d7 mconte@u  R      16:54      1 compute0034
          10807048    shared Pc8700c9 mconte@u  R      17:09      1 compute0005
          10807049    shared P1f76e76 mconte@u  R      17:09      1 compute0095
          10807050    shared Pafe797f mconte@u  R      17:09      1 compute0096
          10807047    shared P5ccaa21 mconte@u  R      17:22      1 compute0059
          10807046    shared P0f2269c mconte@u  R      17:41      1 compute0142
          10807042    shared P775f64a mconte@u  R      18:08      1 compute0067
          10807043    shared Pac5a51e mconte@u  R      18:08      1 compute0077
          10807044    shared P21032aa mconte@u  R      18:08      1 compute0088
          10807041    shared P99b8277 mconte@u  R      18:14      1 compute0125
